I
1130 Generated by WorldEditor 2.3.1r1

1    597 0 0 EDRE Mendig
1302 city 
1302 country 
111  50.36184305  007.31446993
111  50.36188780  007.31474393
112  50.36196471  007.31494341  50.36201505  007.31500698
111  50.36216048  007.31495875
111  50.36530267  007.31362594
112  50.36548307  007.31367856  50.36556278  007.31373555
111  50.36560053  007.31384516
111  50.36546489  007.31304721
112  50.36538937  007.31334315  50.36533204  007.31345715
111  50.36527471  007.31347249
111  50.36212957  007.31478230
112  50.36203728  007.31475818  50.36198554  007.31472092
111  50.36197715  007.31460474
111  50.36182472  007.31370382
112  50.36182333  007.31352627  50.36184011  007.31345831
111  50.36188765  007.31340132
111  50.36207364  007.31312951
111  50.36150030  007.30978889
111  50.36119824  007.30967052
112  50.36113532  007.30960476  50.36111434  007.30957626
111  50.36110315  007.30950174
111  50.36085424  007.30801338
112  50.36086543  007.30790158  50.36088221  007.30784021
111  50.36090878  007.30782487
111  50.36148492  007.30758156
111  50.36233933  007.30722864
112  50.36241165  007.30723201  50.36245859  007.30724939
111  50.36247917  007.30744127
111  50.36290326  007.30726845
111  50.36279717  007.30660615
111  50.36235977  007.30677246
112  50.36238266  007.30697173  50.36237894  007.30701841
111  50.36233185  007.30706422
111  50.36194471  007.30719551
112  50.36184420  007.30719551  50.36179804  007.30717217
111  50.36178650  007.30712841
111  50.36157246  007.30591762
112  50.36159851  007.30562003  50.36163574  007.30549749
111  50.36173252  007.30544206
111  50.36365521  007.30463970
111  50.36400885  007.30450549
111  50.36431782  007.30437419
111  50.36465284  007.30423122
111  50.36510141  007.30403864
112  50.36517772  007.30406490  50.36521122  007.30409116
111  50.36522797  007.30413201
111  50.36571004  007.30694475
112  50.36570445  007.30708773  50.36568584  007.30716359
111  50.36563931  007.30719568
111  50.36501020  007.30747871
112  50.36490597  007.30746412  50.36486130  007.30744078
111  50.36481663  007.30738534
111  50.36491156  007.30793097
112  50.36494320  007.30775007  50.36496553  007.30767420
111  50.36504929  007.30763336
111  50.36599295  007.30718401
112  50.36608229  007.30720152  50.36614371  007.30723070
111  50.36614557  007.30728614
111  50.36625725  007.30809145
111  50.36597248  007.30849995
111  50.36627772  007.31094508
111  50.36666114  007.31116392
111  50.36673187  007.31168621
111  50.36676165  007.31188754
111  50.36709409  007.31436016
111  50.36712969  007.31461725
111  50.36768923  007.31869525
111  50.36808066  007.32098530
111  50.36840666  007.32293111
111  50.36880250  007.32532628
112  50.36871373  007.32573983  50.36859685  007.32598202
112  50.36840290  007.32608999  50.36828378  007.32613667
112  50.36810882  007.32611916  50.36802321  007.32606956
111  50.36797481  007.32594409
111  50.36804554  007.32637303
112  50.36841016  007.32626127  50.36874984  007.32613988
111  50.36876492  007.32604563
111  50.36891214  007.32566833
112  50.36893150  007.32547137  50.36893336  007.32539258
111  50.36891919  007.32531495
111  50.36829160  007.32163730
111  50.36805317  007.32016143
111  50.36769169  007.31794764
111  50.36765784  007.31765584
111  50.36712254  007.31378295
111  50.36703640  007.31316560
111  50.36701948  007.31301850
111  50.36698102  007.31272671
111  50.36689642  007.31207802
111  50.36681797  007.31148720
111  50.36674420  007.31090828
111  50.36696417  007.31083834
111  50.36593817  007.30314337
111  50.36577358  007.30319884
112  50.36572128  007.30317955  50.36569051  007.30315543
111  50.36569359  007.30311926
111  50.36561668  007.30337487
111  50.36570589  007.30401390
112  50.36569051  007.30415376  50.36566129  007.30419235
112  50.36554746  007.30407901  50.36549362  007.30403319
111  50.36541167  007.30397816
112  50.36538244  007.30391064  50.36537014  007.30385518
111  50.36538244  007.30381177
111  50.36548243  007.30355134
111  50.36539013  007.30347176
111  50.36529939  007.30372924
112  50.36525663  007.30379809  50.36523121  007.30381983
111  50.36519017  007.30382918
111  50.36496363  007.30392125
111  50.36429520  007.30421281
111  50.36397916  007.30434214
111  50.36167612  007.30530982
112  50.36150393  007.30555257  50.36144267  007.30573554
111  50.36147619  007.30594749
111  50.36165174  007.30694585
112  50.36163325  007.30721397  50.36159128  007.30735941
111  50.36149687  007.30740584
111  50.36088320  007.30766142
112  50.36074105  007.30742773  50.36069598  007.30715781
111  50.36079219  007.30711379
111  50.36126988  007.30690772
113  50.36103907  007.30553291
111  50.36051433  007.30722967
112  50.36065150  007.30745219  50.36069177  007.30769397
111  50.36060852  007.30776455
111  50.36004547  007.30800953
112  50.35987077  007.30779774  50.35982573  007.30754743
113  50.35991239  007.30748001
112  50.35979365  007.30782660  50.35983664  007.30807692
111  50.35971994  007.30815393
111  50.35910368  007.30839141
112  50.35898083  007.30817640  50.35893784  007.30793571
111  50.35902792  007.30784265
113  50.35963804  007.30759127
111  50.35877814  007.30795176
112  50.35889689  007.30820207  50.35894807  007.30846200
111  50.35885799  007.30850693
111  50.35871058  007.30855828
112  50.35858569  007.30831759  50.35854474  007.30807370
113  50.35862868  007.30801594
112  50.36542126  007.30425768  50.36547151  007.30417307
112  50.36566322  007.30437440  50.36575628  007.30447944
111  50.36579351  007.30466034
111  50.36587354  007.30522931
112  50.36572278  007.30541605  50.36555899  007.30549191
111  50.36554410  007.30535477
113  50.36539520  007.30446777
112  50.36574326  007.30555318  50.36588657  007.30549483
111  50.36592566  007.30563488
111  50.36609317  007.30684870
112  50.36598336  007.30705003  50.36585865  007.30709379
111  50.36580468  007.30693040
113  50.36561669  007.30578953
110 2 0.00 0.0000 New Taxiway 33
111  50.36673187  007.31168621
112  50.36667956  007.31176220  50.36664773  007.31179130
111  50.36661590  007.31179962
111  50.36573795  007.31209484
112  50.36565838  007.31206573  50.36562390  007.31203247
111  50.36558942  007.31197841
111  50.36565838  007.31236511
112  50.36570082  007.31222374  50.36572204  007.31217800
111  50.36577243  007.31212810
111  50.36665038  007.31186615
112  50.36671139  007.31185783  50.36673526  007.31187031
113  50.36676165  007.31188754
110 1 0.00 0.0000 New Taxiway 32
111  50.36709409  007.31436016
112  50.36700840  007.31449089  50.36697217  007.31451413
111  50.36693923  007.31452445
111  50.36620634  007.31480330
112  50.36612729  007.31479039  50.36610093  007.31477231
111  50.36606141  007.31473875
111  50.36610423  007.31500468
112  50.36616352  007.31489366  50.36619152  007.31487042
111  50.36621128  007.31485235
112  50.36701005  007.31456318  50.36704134  007.31457093
113  50.36712969  007.31461725
110 3 0.00 0.0000 New Taxiway 4
111  50.36077954  007.30369420
111  50.36091017  007.30440252
112  50.36119259  007.30445232  50.36129497  007.30452426
111  50.36167612  007.30530982
111  50.36248471  007.30501678
112  50.36142913  007.30426416  50.36128085  007.30404835
113  50.36143246  007.30292539
110 3 0.00 75.0000 New Taxiway 49
111  50.36413884  007.31406707
111  50.36573561  007.32295206
111  50.36612156  007.32278598
113  50.36453235  007.31388914
130 Airport Boundary 1
111  50.35780103  007.31054998
111  50.35987324  007.31491964
111  50.36401765  007.32067697
111  50.36514794  007.32525331
111  50.36748388  007.32950487
111  50.36874604  007.32906200
111  50.36938654  007.32723147
111  50.36948073  007.32424947
111  50.36633475  007.30192875
111  50.36503491  007.29947819
111  50.36407416  007.29924200
111  50.36313225  007.30086586
111  50.36081515  007.30364119
111  50.35906319  007.30538315
113  50.35808361  007.30609174
120 Linear Feature 31
111  50.36800617  007.32620505 20
112  50.36845256  007.32614570  50.36860202  007.32604885 20
112  50.36877938  007.32577080  50.36885510  007.32549900 20
111  50.36883119  007.32527406 20
111  50.36790454  007.31977248 20
111  50.36767736  007.31840725 20
111  50.36734058  007.31593611 20
111  50.36695597  007.31309010 20
111  50.36668495  007.31109384 20
111  50.36643984  007.30924443 20
111  50.36625849  007.30728568 20
111  50.36599743  007.30514262 20
111  50.36594961  007.30480836 20
112  50.36577424  007.30437725  50.36565467  007.30421793 20
112  50.36525612  007.30395552  50.36518039  007.30393053 20
111  50.36498510  007.30397426 20
111  50.36448690  007.30420543 20
112  50.36421588  007.30451782  50.36413019  007.30475524 20
111  50.36416207  007.30518009 20
115  50.36419196  007.30535503
120 Linear Feature 30
111  50.36436488  007.30536750 22
115  50.36482960  007.30809589
120 Linear Feature 29
111  50.36439557  007.30535719 22
115  50.36486248  007.30808559
120 Linear Feature 28
111  50.36442845  007.30533657 20
115  50.36489097  007.30806497
120 Linear Feature 27
111  50.36433638  007.30539155 20
115  50.36479891  007.30811308
120 Linear Feature 26
111  50.36758210  007.32543421 20
111  50.36765443  007.32588405 20
112  50.36786663  007.32624317  50.36802336  007.32634524 20
112  50.36846165  007.32621303  50.36864431  007.32613088 20
112  50.36882847  007.32581635  50.36890782  007.32556520 20
111  50.36887338  007.32526944 20
111  50.36793720  007.31976762 20
111  50.36770998  007.31839504 20
111  50.36737240  007.31592765 20
111  50.36698660  007.31307540 20
111  50.36671697  007.31108914 20
111  50.36647146  007.30924379 20
111  50.36628952  007.30728504 20
111  50.36602866  007.30513731 20
111  50.36598263  007.30480054 20
112  50.36579411  007.30434007  50.36565162  007.30415107 20
112  50.36527239  007.30391396  50.36517156  007.30387272 20
111  50.36498085  007.30393114 20
111  50.36447886  007.30414762 20
112  50.36418951  007.30449812  50.36409964  007.30475584 20
111  50.36413471  007.30519224 20
115  50.36416101  007.30536406
120 Linear Feature 25
111  50.36742778  007.32389193 1
115  50.36755798  007.32495036
120 Linear Feature 24
111  50.36737473  007.32389193 1
115  50.36749529  007.32495414
120 Linear Feature 23
111  50.36684183  007.32080739 1
115  50.36733856  007.32367269
120 Linear Feature 22
111  50.36556868  007.31247985 22
115  50.36603888  007.31521658
120 Linear Feature 21
111  50.36560726  007.31247607 22
115  50.36607263  007.31520902
120 Linear Feature 20
111  50.36554456  007.31250253 20
115  50.36600753  007.31523170
120 Linear Feature 19
111  50.36564102  007.31251009 20
115  50.36610157  007.31520146
120 Linear Feature 18
111  50.36576016  007.31390442 51
111  50.36572393  007.31370820 51
112  50.36561193  007.31353006  50.36552300  007.31347842 51
115  50.36542878  007.31349129
120 Linear Feature 17
111  50.36481847  007.30824058 51
111  50.36477355  007.30799307 51
112  50.36481711  007.30775196  50.36487836  007.30763674 51
115  50.36497209  007.30758118
120 Linear Feature 16
111  50.36177166  007.30738163 51
111  50.36151957  007.30591099 51
112  50.36155464  007.30556739  50.36160944  007.30544369 51
111  50.36170809  007.30537840 51
111  50.36509046  007.30396614 51
112  50.36519787  007.30396958  50.36523514  007.30399020 51
111  50.36527021  007.30409329 51
111  50.36576781  007.30699701 51
112  50.36575904  007.30716883  50.36573931  007.30722725 51
111  50.36566917  007.30726848 51
111  50.36497209  007.30758118 51
112  50.36476603  007.30754338  50.36468273  007.30748153 51
111  50.36467011  007.30739563 51
115  50.36464697  007.30725267
120 Linear Feature 15
111  50.35879078  007.30989276 51
111  50.35849784  007.30809047 51
112  50.35849983  007.30798739  50.35851179  007.30795928 51
111  50.35854566  007.30793429 51
115  50.36109046  007.30687538
120 Linear Feature 14
111  50.35976127  007.30744700 51
111  50.36009805  007.30933991 51
112  50.36008410  007.30948047  50.36006218  007.30951795 51
111  50.36001435  007.30954607 51
115  50.35972141  007.30968038
120 Linear Feature 13
111  50.36559418  007.31292273 51
111  50.36561610  007.31306643 51
112  50.36556827  007.31331947  50.36550251  007.31346318 51
111  50.36542878  007.31349129 51
111  50.36213668  007.31487827 51
112  50.36198722  007.31487202  50.36195135  007.31483141 51
111  50.36190950  007.31457527 51
115  50.36064009  007.30706591
120 Linear Feature 12
111  50.35840711  007.30877983 51
115  50.36236819  007.30713400
120 Linear Feature 11
111  50.36278422  007.30668610 20
111  50.36277635  007.30663672 20
115  50.36274822  007.30664907
120 Linear Feature 10
111  50.36283709  007.30700878 20
115  50.36281572  007.30688711
120 Linear Feature 9
111  50.36284834  007.30726270 20
111  50.36287871  007.30724859 20
115  50.36286634  007.30719040
120 Linear Feature 8
111  50.36247938  007.30735263 20
111  50.36248838  007.30741258 20
115  50.36252100  007.30739671
120 Linear Feature 7
111  50.36242426  007.30703523 20
115  50.36244676  007.30717453
120 Linear Feature 6
111  50.36241863  007.30678484 20
111  50.36238601  007.30679718 20
115  50.36239389  007.30685008
21  50.36499577  007.30699802 2 70.0000 4.10 New Light Fixture 120
21  50.36701514  007.32365986 2 252.9900 3.00 New Light Fixture 119
14  50.36693611  007.31168404  32.81 0 New Tower Viewpoint 123
1300  50.36108187  007.30358049  55.01 tie_down props|helos Gras start 1
1301 A general_aviation 
1300  50.36116210  007.30439043 318.66 tie_down props|helos Gras start 2
1301 A general_aviation 
1300  50.36129926  007.30381187 145.95 tie_down props|helos Gras start 3
1301 A general_aviation 
19  50.36898008  007.32409869 0 New Windsock 122
19  50.36152208  007.30410650 0 New Windsock 121
1054 135060 Mendig Info
1200 
1201  50.36870060  007.32598348 both 0 _stop
1201  50.36882526  007.32569656 both 1 _stop
1201  50.36885709  007.32529736 both 2 _stop
1201  50.36829478  007.32201648 both 3 _stop
1201  50.36769533  007.31839883 both 4 _stop
1201  50.36722851  007.31496420 both 5 _stop
1201  50.36670068  007.31108470 both 6 _stop
1201  50.36623385  007.30703476 both 7 _stop
1201  50.36579356  007.30716782 both 8 _stop
1201  50.36525246  007.30401605 both 9 _stop
1201  50.36514093  007.30394991 both 10 _stop
1201  50.36099256  007.30377953 both 11 _stop
1201  50.36112518  007.30401236 both 12 _stop
1201  50.36126046  007.30426598 both 13 _stop
1201  50.36212514  007.30520145 both 14 _stop
1201  50.36357866  007.30459442 both 15 _stop
1201  50.36378025  007.30450710 both 16 _stop
1201  50.36478286  007.30409131 both 17 _stop
1201  50.36443805  007.30423269 both 18 _stop
1201  50.36839683  007.32620006 both 19 _stop
1201  50.36806851  007.32626648 both 20 _stop
1201  50.36785008  007.32615306 both 21 _stop
1201  50.36416017  007.30440115 both 22 _start
1202 0 19 twoway taxiway_E 
1202 1 0 twoway taxiway_E 
1202 2 1 twoway taxiway_E 
1202 3 2 twoway taxiway_E 
1202 4 3 twoway taxiway_E 
1202 5 4 twoway taxiway_E 
1202 6 5 twoway taxiway_E 
1202 7 6 twoway taxiway_E 
1202 8 7 twoway taxiway_E 
1202 9 8 twoway taxiway_E 
1202 10 9 twoway taxiway_E 
1202 17 10 twoway taxiway_E 
1202 12 11 twoway taxiway_E 
1202 13 12 twoway taxiway_E 
1202 14 13 twoway taxiway_E 
1202 15 14 twoway taxiway_E 
1202 16 15 twoway taxiway_E 
1204 departure 07,25
1204 arrival 07,25
1202 22 16 twoway taxiway_E 
1204 departure 07,25
1204 arrival 07,25
1202 18 17 twoway taxiway_E 
1204 departure 07,25
1204 arrival 07,25
1202 22 18 twoway taxiway_E 
1204 departure 07,25
1204 arrival 07,25
1202 20 19 twoway taxiway_E 
1204 departure 07,25
1204 arrival 07,25
1202 21 20 twoway taxiway_E 
1204 departure 07,25
1204 arrival 07,25
1202 22 21 twoway runway 07/25
1204 departure 07,25
1204 arrival 07,25
1204 ils 07,25
99
